Statute,State,Universal Citation,Section #,Statute Language,Complete Statute,Contributing Factor,Source URL,Source Type,Authority Level,Jurisdiction,Code,Base Section,Canonical Citation,Relevance Tier,Topic / Working Title,Contributing Factor Hint,Injury Relevance Reason,Row Granularity,Suggested DB Table,Suggested Primary Key,Notes
Cal. Veh. Code § 21955,California,Cal. Veh. Code,21955,Official statutory language for Cal. Veh. Code § 21955 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 21955 — Pedestrian crossing between controlled intersections. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21955,pedestrian,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21955,official_state_code_section,official,CA,Vehicle Code,21955,Cal. Veh. Code § 21955,common_crash_causation,Pedestrian crossing between controlled intersections,pedestrian,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|21955,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 21956,California,Cal. Veh. Code,21956,Official statutory language for Cal. Veh. Code § 21956 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 21956 — Pedestrian on roadway. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21956,pedestrian,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21956,official_state_code_section,official,CA,Vehicle Code,21956,Cal. Veh. Code § 21956,common_crash_causation,Pedestrian on roadway,pedestrian,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|21956,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 22100,California,Cal. Veh. Code,22100,Official statutory language for Cal. Veh. Code § 22100 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 22100 — Turning at intersections. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=22100,improper turning,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=22100,official_state_code_section,official,CA,Vehicle Code,22100,Cal. Veh. Code § 22100,common_crash_causation,Turning at intersections,improper turning,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|22100,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 22100.5,California,Cal. Veh. Code,22100.5,"“[n]o driver shall make a U-turn at an intersection controlled by official traffic signals except as provided in Section 21451, and then only from the far lefthand lane that is lawfully available to traffic moving in the direction of travel from which the turn is commenced. No driver shall make a U-turn at an intersection controlled by official traffic control devices except from the far lefthand lane that is lawfully available to traffic moving in the direction of travel from which the turn is commenced.”","Pursuant to Cal. Veh. Code § 22100.5, “[n]o driver shall make a U-turn at an intersection controlled by official traffic signals except as provided in Section 21451, and then only from the far lefthand lane that is lawfully available to traffic moving in the direction of travel from which the turn is commenced. No driver shall make a U-turn at an intersection controlled by official traffic control devices except from the far lefthand lane that is lawfully available to traffic moving in the direction of travel from which the turn is commenced.”",Improper Lane of Travel,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=22100.5,official_state_code_section,official,CA,Vehicle Code,22100.5,Cal. Veh. Code § 22100.5,common_crash_causation,Turning into/using lanes,improper lane of travel,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|22100.5,
Cal. Veh. Code § 22101,California,Cal. Veh. Code,22101,Official statutory language for Cal. Veh. Code § 22101 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 22101 — Obedience to turning markers/signals. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=22101,improper turning,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=22101,official_state_code_section,official,CA,Vehicle Code,22101,Cal. Veh. Code § 22101,common_crash_causation,Obedience to turning markers/signals,improper turning,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|22101,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 22102,California,Cal. Veh. Code,22102,Official statutory language for Cal. Veh. Code § 22102 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 22102 — U-turn in business district. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=22102,improper turning,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=22102,official_state_code_section,official,CA,Vehicle Code,22102,Cal. Veh. Code § 22102,common_crash_causation,U-turn in business district,improper turning,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|22102,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 22103,California,Cal. Veh. Code,22103,Official statutory language for Cal. Veh. Code § 22103 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 22103 — U-turn in residence district. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=22103,improper turning,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=22103,official_state_code_section,official,CA,Vehicle Code,22103,Cal. Veh. Code § 22103,common_crash_causation,U-turn in residence district,improper turning,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|22103,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 22106,California,Cal. Veh. Code,22106,"“[n]o person shall start a vehicle stopped, standing, or parked on a highway, nor shall any person back a vehicle on a highway until such movement can be made with reasonable safety.”","Pursuant to Cal. Veh. Code § 22106, “[n]o person shall start a vehicle stopped, standing, or parked on a highway, nor shall any person back a vehicle on a highway until such movement can be made with reasonable safety.”",Improper Starting,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=22106,official_state_code_section,official,CA,Vehicle Code,22106,Cal. Veh. Code § 22106,common_crash_causation,Starting/backing when unsafe,improper starting,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|22106,
Cal. Veh. Code § 22107,California,Cal. Veh. Code,22107,“[n]o person shall turn a vehicle from a direct course or move right or left upon a roadway until such movement can be made with reasonable safety and then only after the giving of an appropriate signal … in the event any other vehicle may be affected by the movement.”,"Pursuant to Cal. Veh. Code § 22107, “[n]o person shall turn a vehicle from a direct course or move right or left upon a roadway until such movement can be made with reasonable safety and then only after the giving of an appropriate signal … in the event any other vehicle may be affected by the movement.”",Improper Turning,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=22107,official_state_code_section,official,CA,Vehicle Code,22107,Cal. Veh. Code § 22107,common_crash_causation,Turning or moving left/right when unsafe,improper turning / unsafe lane movement,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|22107,
Cal. Veh. Code § 22108,California,Cal. Veh. Code,22108,Official statutory language for Cal. Veh. Code § 22108 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 22108 — Turn signal timing. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=22108,improper turning,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=22108,official_state_code_section,official,CA,Vehicle Code,22108,Cal. Veh. Code § 22108,common_crash_causation,Turn signal timing,improper turning,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|22108,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 22109,California,Cal. Veh. Code,22109,“[n]o person shall stop or suddenly decrease the speed of a vehicle on a highway without first giving an appropriate signal … to the driver of any vehicle immediately to the rear when there is opportunity to give the signal.”,"Pursuant to Cal. Veh. Code § 22109, “[n]o person shall stop or suddenly decrease the speed of a vehicle on a highway without first giving an appropriate signal … to the driver of any vehicle immediately to the rear when there is opportunity to give the signal.”",Improper Stopping,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=22109,official_state_code_section,official,CA,Vehicle Code,22109,Cal. Veh. Code § 22109,common_crash_causation,Stopping or sudden decrease in speed signal,improper stopping,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|22109,
Cal. Veh. Code § 22348,California,Cal. Veh. Code,22348,“a person shall not drive a vehicle upon a highway with a speed limit established pursuant to Section 22349 or 22356 at a speed greater than that speed limit.”,"Pursuant to Cal. Veh. Code § 22348(a), “a person shall not drive a vehicle upon a highway with a speed limit established pursuant to Section 22349 or 22356 at a speed greater than that speed limit.”",Driving Too Fast For Conditions,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=22348,official_state_code_section,official,CA,Vehicle Code,22348,Cal. Veh. Code § 22348,common_crash_causation,Maximum speed / excessive speed provisions,driving too fast for conditions,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|22348,
Cal. Veh. Code § 22349,California,Cal. Veh. Code,22349,Official statutory language for Cal. Veh. Code § 22349 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 22349 — Maximum speed limits. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=22349,speeding,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=22349,official_state_code_section,official,CA,Vehicle Code,22349,Cal. Veh. Code § 22349,common_crash_causation,Maximum speed limits,speeding,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|22349,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 22350,California,Cal. Veh. Code,22350,"“[n]o person shall drive a vehicle upon a highway at a speed greater than is reasonable or prudent having due regard for weather, visibility, the traffic on, and the surface and width of, the highway, and in no event at a speed which endangers the safety of persons or property.”","Pursuant to Cal. Veh. Code § 22350, “[n]o person shall drive a vehicle upon a highway at a speed greater than is reasonable or prudent having due regard for weather, visibility, the traffic on, and the surface and width of, the highway, and in no event at a speed which endangers the safety of persons or property.”",Driving Too Fast For Conditions,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=22350,official_state_code_section,official,CA,Vehicle Code,22350,Cal. Veh. Code § 22350,common_crash_causation,Basic speed law,driving too fast for conditions,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|22350,
Cal. Veh. Code § 22351,California,Cal. Veh. Code,22351,Official statutory language for Cal. Veh. Code § 22351 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 22351 — Speed law prima facie limits/evidence. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=22351,speeding,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=22351,official_state_code_section,official,CA,Vehicle Code,22351,Cal. Veh. Code § 22351,common_crash_causation,Speed law prima facie limits/evidence,speeding,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|22351,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 22352,California,Cal. Veh. Code,22352,Official statutory language for Cal. Veh. Code § 22352 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 22352 — Prima facie speed limits. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=22352,speeding,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=22352,official_state_code_section,official,CA,Vehicle Code,22352,Cal. Veh. Code § 22352,common_crash_causation,Prima facie speed limits,speeding,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|22352,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 22400,California,Cal. Veh. Code,22400,“[n]o person shall bring a vehicle to a complete stop upon a highway so as to impede or block the normal and reasonable movement of traffic unless the stop is necessary for safe operation or in compliance with law.”,"Pursuant to Cal. Veh. Code § 22400(a), “[n]o person shall bring a vehicle to a complete stop upon a highway so as to impede or block the normal and reasonable movement of traffic unless the stop is necessary for safe operation or in compliance with law.”",Improper Stopping,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=22400,official_state_code_section,official,CA,Vehicle Code,22400,Cal. Veh. Code § 22400,common_crash_causation,Minimum speed / impeding traffic,improper stopping,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|22400,
Cal. Veh. Code § 22450,California,Cal. Veh. Code,22450,"""[t]he driver of any vehicle approaching a stop sign at the entrance to, or within, an intersection shall stop at a limit line, if marked, otherwise before entering the crosswalk on the near side of the intersection.
 If there is no limit line or crosswalk, the driver shall stop at the entrance to the intersecting roadway.""","Pursuant to Cal. Veh. Code § 22450(a), ""[t]he driver of any vehicle approaching a stop sign at the entrance to, or within, an intersection shall stop at a limit line, if marked, otherwise before entering the crosswalk on the near side of the intersection.
 If there is no limit line or crosswalk, the driver shall stop at the entrance to the intersecting roadway.""",Improper Stopping,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=22450,official_state_code_section,official,CA,Vehicle Code,22450,Cal. Veh. Code § 22450,common_crash_causation,Stop sign duties,improper stopping / traffic control,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|22450,
Cal. Veh. Code § 22451,California,Cal. Veh. Code,22451,Official statutory language for Cal. Veh. Code § 22451 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 22451 — Stop at railroad/highway crossing signal. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=22451,traffic control / railroad crossing,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=22451,official_state_code_section,official,CA,Vehicle Code,22451,Cal. Veh. Code § 22451,common_crash_causation,Stop at railroad/highway crossing signal,traffic control / railroad crossing,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|22451,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 22452,California,Cal. Veh. Code,22452,Official statutory language for Cal. Veh. Code § 22452 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 22452 — Stop at railroad crossings for certain vehicles. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=22452,traffic control / railroad crossing,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=22452,official_state_code_section,official,CA,Vehicle Code,22452,Cal. Veh. Code § 22452,common_crash_causation,Stop at railroad crossings for certain vehicles,traffic control / railroad crossing,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|22452,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 22453,California,Cal. Veh. Code,22453,Official statutory language for Cal. Veh. Code § 22453 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 22453 — Stop at railroad crossing. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=22453,traffic control / railroad crossing,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=22453,official_state_code_section,official,CA,Vehicle Code,22453,Cal. Veh. Code § 22453,common_crash_causation,Stop at railroad crossing,traffic control / railroad crossing,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|22453,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 23103,California,Cal. Veh. Code,23103,“[a] person who drives a vehicle upon a highway in willful or wanton disregard for the safety of persons or property is guilty of reckless driving.”,"Pursuant to Cal. Veh. Code § 23103(a), “[a] person who drives a vehicle upon a highway in willful or wanton disregard for the safety of persons or property is guilty of reckless driving.”",Reckless Driving,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=23103,official_state_code_section,official,CA,Vehicle Code,23103,Cal. Veh. Code § 23103,common_crash_causation,Reckless driving,reckless driving,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|23103,
Cal. Veh. Code § 23104,California,Cal. Veh. Code,23104,Official statutory language for Cal. Veh. Code § 23104 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 23104 — Reckless driving causing bodily injury. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=23104,reckless driving / bodily injury,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=23104,official_state_code_section,official,CA,Vehicle Code,23104,Cal. Veh. Code § 23104,direct_injury_offense,Reckless driving causing bodily injury,reckless driving / bodily injury,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|23104,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 23105,California,Cal. Veh. Code,23105,Official statutory language for Cal. Veh. Code § 23105 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 23105 — Reckless driving causing specified serious injuries. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=23105,reckless driving / serious injury,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=23105,official_state_code_section,official,CA,Vehicle Code,23105,Cal. Veh. Code § 23105,direct_injury_offense,Reckless driving causing specified serious injuries,reckless driving / serious injury,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|23105,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 23109,California,Cal. Veh. Code,23109,Official statutory language for Cal. Veh. Code § 23109 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 23109 — Speed contests and exhibitions. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=23109,speed contest / bodily injury risk,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=23109,official_state_code_section,official,CA,Vehicle Code,23109,Cal. Veh. Code § 23109,common_crash_causation,Speed contests and exhibitions,speed contest / bodily injury risk,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|23109,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 23109.1,California,Cal. Veh. Code,23109.1,Official statutory language for Cal. Veh. Code § 23109.1 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 23109.1 — Speed contest causing serious injury. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=23109.1,speed contest / serious injury,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=23109.1,official_state_code_section,official,CA,Vehicle Code,23109.1,Cal. Veh. Code § 23109.1,direct_injury_offense,Speed contest causing serious injury,speed contest / serious injury,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|23109.1,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 23110,California,Cal. Veh. Code,23110,Official statutory language for Cal. Veh. Code § 23110 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 23110 — Throwing substance at vehicle/occupant. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=23110,vehicle assault / injury risk,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=23110,official_state_code_section,official,CA,Vehicle Code,23110,Cal. Veh. Code § 23110,direct_injury_offense,Throwing substance at vehicle/occupant,vehicle assault / injury risk,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|23110,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 23123,California,Cal. Veh. Code,23123,"“[a] person shall not drive a motor vehicle while using a wireless telephone unless that telephone is specifically designed and configured to allow hands-free listening and talking, and is used in that manner while driving..”","Pursuant to Cal. Veh. Code § 23123(a), “[a] person shall not drive a motor vehicle while using a wireless telephone unless that telephone is specifically designed and configured to allow hands-free listening and talking, and is used in that manner while driving..”",Using a Wireless Telephone/Texting While Driving,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=23123,official_state_code_section,official,CA,Vehicle Code,23123,Cal. Veh. Code § 23123,common_crash_causation,Wireless telephone use while driving,distracted driving,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|23123,
Cal. Veh. Code § 23123.5,California,Cal. Veh. Code,23123.5,"“[a] person shall not drive a motor vehicle while holding and operating a handheld wireless telephone or an electronic wireless communications device unless the wireless telephone or electronic wireless communications device is specifically designed and configured to allow voice-operated and hands-free operation, and it is used in that manner while driving.”","Pursuant to Cal. Veh. Code § 23123.5(a), “[a] person shall not drive a motor vehicle while holding and operating a handheld wireless telephone or an electronic wireless communications device unless the wireless telephone or electronic wireless communications device is specifically designed and configured to allow voice-operated and hands-free operation, and it is used in that manner while driving.”",Using a Wireless Telephone/Texting While Driving,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=23123.5,official_state_code_section,official,CA,Vehicle Code,23123.5,Cal. Veh. Code § 23123.5,common_crash_causation,Texting/handheld wireless device use while driving,distracted driving,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|23123.5,
Cal. Veh. Code § 23124,California,Cal. Veh. Code,23124,Official statutory language for Cal. Veh. Code § 23124 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 23124 — Wireless device use by minors while driving. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=23124,distracted driving,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=23124,official_state_code_section,official,CA,Vehicle Code,23124,Cal. Veh. Code § 23124,common_crash_causation,Wireless device use by minors while driving,distracted driving,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|23124,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 23152,California,Cal. Veh. Code,23152,“[i]t is unlawful for a person who is under the influence of any alcoholic beverage to drive a vehicle.” || “[i]t is unlawful for a person who is addicted to the use of any drug to drive a vehicle.”,"Pursuant to Cal. Veh. Code § 23152(a), “[i]t is unlawful for a person who is under the influence of any alcoholic beverage to drive a vehicle.” || Pursuant to Cal. Veh. Code § 23152(c), “[i]t is unlawful for a person who is addicted to the use of any drug to drive a vehicle.”",DUI/DWI,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=23152,official_state_code_section,official,CA,Vehicle Code,23152,Cal. Veh. Code § 23152,common_crash_causation,DUI baseline,DUI/DWI,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|23152,
Cal. Veh. Code § 23153,California,Cal. Veh. Code,23153,"“[i]t is unlawful for a person, while under the influence of any alcoholic beverage, to drive a vehicle and concurrently do any act forbidden by law, or neglect any duty imposed by law in driving the vehicle, which act or neglect proximately causes bodily injury to any person other than the driver.”","Pursuant to Cal. Veh. Code § 23153(a), “[i]t is unlawful for a person, while under the influence of any alcoholic beverage, to drive a vehicle and concurrently do any act forbidden by law, or neglect any duty imposed by law in driving the vehicle, which act or neglect proximately causes bodily injury to any person other than the driver.”",DUI/DWI,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=23153,official_state_code_section,official,CA,Vehicle Code,23153,Cal. Veh. Code § 23153,direct_injury_offense,DUI causing bodily injury,DUI/DWI / bodily injury,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|23153,
Cal. Veh. Code § 23554,California,Cal. Veh. Code,23554,Official statutory language for Cal. Veh. Code § 23554 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 23554 — Penalty for first DUI injury violation. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=23554,DUI/DWI / bodily injury,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=23554,official_state_code_section,official,CA,Vehicle Code,23554,Cal. Veh. Code § 23554,direct_injury_offense,Penalty for first DUI injury violation,DUI/DWI / bodily injury,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|23554,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 23556,California,Cal. Veh. Code,23556,Official statutory language for Cal. Veh. Code § 23556 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 23556 — Probation terms for first DUI injury violation. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=23556,DUI/DWI / bodily injury,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=23556,official_state_code_section,official,CA,Vehicle Code,23556,Cal. Veh. Code § 23556,direct_injury_offense,Probation terms for first DUI injury violation,DUI/DWI / bodily injury,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|23556,Full statute text should be fetched from official source during ingestion.
